"mac_Id","ts","Acc_Angle","Acceleration_y","Acceleration_Z","Aceeleration_x","Device_ID","Gyro_x","Gyro_y","Gyro_z","time","Velocity"
"2c:3a:e8:03:e2:03","1661180511694","89.85195923","0.023942016","9.44512558","0.004788403","ESP8266_1","'-29.93895149","'-0.656489074","'-4.488553524","18240","944.515686"
"2c:3a:e8:03:e2:03","1661180511903","89.44658661","'-0.004788403","9.430760384","'-0.090979666","ESP8266_1","'-29.81682014","'-0.503817201","'-4.793897152","18450","27362.05859"
"2c:3a:e8:03:e2:03","1661180512072","89.61873627","0.052672438","9.380482674","0.033518825","ESP8266_1","'-29.48094177","'-0.763359308","'-4.122140884","18613","52802.66016"
"2c:3a:e8:03:e2:03","1661180512242","89.6672821","0.01436521","9.399636269","'-0.052672438","ESP8266_1","'-29.70994568","'-0.870229721","'-4.366415977","18786","78230.46875"
"2c:3a:e8:03:e2:03","1661180512410","89.32164764","0.110133275","9.440337181","'-0.019153614","ESP8266_1","'-29.4351368","'-0.503817201","'-3.877865791","18954","103668.9531"
"2c:3a:e8:03:e2:03","1661180512587","89.39332581","0.069431849","9.43315506","'-0.071826048","ESP8266_1","'-30.04582596","'-0.931298435","'-4.656492233","19125","129156.8828"
"2c:3a:e8:03:e2:03","1661180512754","88.89230347","0.067037649","9.449913979","'-0.169988319","ESP8266_1","'-30.25956726","'-1.129771948","'-4.73282814","19293","154621.1406"
"2c:3a:e8:03:e2:03","1661180512921","85.61071777","0.51954174","9.375694275","0.497993946","ESP8266_1","'-32.77864838","1.099237442","'-15.67940235","19467","179998.7969"
"2c:3a:e8:03:e2:03","1661180513112","85.78495789","'-0.330399841","9.476250648","0.615309834","ESP8266_1","'-38.10689926","'-0.244275004","5.496187687","19635","205482.1406"
"2c:3a:e8:03:e2:03","1661180513262","85.05168915","'-0.217872351","9.519346237","'-0.794874966","ESP8266_1","'-39.64888382","3.694659233","0.916031241","19807","231393.7031"
"2c:3a:e8:03:e2:03","1661180513431","84.08990479","'-0.888248801","9.272743225","'-0.363918662","ESP8266_1","'-40.27484512","'-1.190840602","'-8.717563629","19975","256440"
"2c:3a:e8:03:e2:03","1661180513613","67.44416046","'-2.257732153","9.868899345","3.42131424","ESP8266_1","'-23.41986656","'-22.10688782","'-9.786267281","20160","282143.375"
"2c:3a:e8:03:e2:03","1661180513880","82.29309845","'-0.89064306","8.46589756","'-0.720654726","ESP8266_1","'-72.65654755","'-31.48094177","17.6030674","20351","309230.5938"
"2c:3a:e8:03:e2:03","1661180513961","79.31325531","'-1.498770237","8.731653214","0.684741676","ESP8266_1","'-26.73284531","'-42.96186829","10.03054237","20516","334269.8125"
"2c:3a:e8:03:e2:03","1661180514129","65.21883392","'-1.750161409","8.892065048","3.713406801","ESP8266_1","'-31.31299973","'-21.40459824","'-7.068707943","20677","357934.0313"
"2c:3a:e8:03:e2:03","1661180514314","72.19013977","'-1.288080573","7.99423933","2.221819162","ESP8266_1","'-18.27482224","22.33589554","'-16.58016586","20853","381773.1563"
"2c:3a:e8:03:e2:03","1661180514489","86.66040802","0.14844051","8.865729332","0.495599747","ESP8266_1","'-13.55726242","41.25194168","'-34.30537033","21029","405432.4688"
"2c:3a:e8:03:e2:03","1661180516551","84.95211792","0","9.459490776","'-0.835576415","ESP8266_1","'-23.95421791","41.78629303","21.14505386","21293","430570.4688"
"2c:3a:e8:03:e2:03","1661180516552","59.01190186","'-2.803610086","11.46583176","6.289567947","ESP8266_1","'-70.96188354","'-8.442754745","'-10.70229912","21703","461103.2188"
"2c:3a:e8:03:e2:03","1661180516599","81.62337494","'-0.380678058","8.59278965","'-1.206677675","ESP8266_1","38.4885788","'-41.20614243","'-62.30539322","22111","479179.9688"
"2c:3a:e8:03:e2:03","1661180516660","75.95461273","1.817199111","8.604761124","1.15400517","ESP8266_1","'-20.45803261","58.93134308","'-14.12214851","22520","503744.6563"
"2c:3a:e8:03:e2:03","1661180516840","83.8704834","'-0.126892686","10.52251625","'-1.122880578","ESP8266_1","43.08400345","'-40.36644363","'-27.19086075","23374","521202"
"2c:3a:e8:03:e2:03","1661180517011","39.9119339","2.56658411","5.109226227","'-5.54257679","ESP8266_1","'-222.0765228","40.53438568","'-19.60307121","23558","555537.625"
"2c:3a:e8:03:e2:03","1661180517181","63.79291916","5.214571476","10.6446209","0.509964943","ESP8266_1","33.38933945","51.46569443","6.167943954","23723","582195.375"
"2c:3a:e8:03:e2:03","1661180517352","84.31026459","0.888248801","9.59835434","0.354341865","ESP8266_1","'-17.77100754","44.29011536","4.595423698","23896","607573.1875"
"2c:3a:e8:03:e2:03","1661180517529","81.83158112","0.098162271","9.615114212","1.37666595","ESP8266_1","'-44.18323517","46.83973312","'-33.51147842","24064","633945.3125"
"2c:3a:e8:03:e2:03","1661180517704","49.84977722","'-5.319916248","12.66532707","9.26556015","ESP8266_1","'-134.5649872","'-48.56492615","'-148.5039368","24246","666396.1875"
"2c:3a:e8:03:e2:03","1661180517872","51.16757584","2.626439333","8.283937454","'-6.129156113","ESP8266_1","'-179.6489868","'-68.16799164","278.1223755","24414","700901.5"
"2c:3a:e8:03:e2:03","1661180518043","54.66011429","'-0.268150598","6.358999729","'-4.50109911","ESP8266_1","'-34.06110001","'-91.22145081","62.97714996","24591","719316.5625"
"2c:3a:e8:03:e2:03","1661180518212","34.57843781","'-0.023942016","8.312667847","12.05959415","ESP8266_1","'-11.17558193","'-11.48092556","'-19.61833572","24754","747133.1875"
"2c:3a:e8:03:e2:03","1661180518382","74.89707184","'-3.387795448","15.32049656","2.370259762","ESP8266_1","81.74051666","'-2.717559338","'-139.6642303","24926","766815.875"
